Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
226	Spectrogram 1	1	460.000000	460.500000	0	0	13	cluster_13	1.0000
227	Spectrogram 1	1	460.250000	461.750000	0	0	noise	cluster_noise	0.0000
228	Spectrogram 1	1	461.500000	462.000000	0	0	26	cluster_26	1.0000
229	Spectrogram 1	1	461.750000	462.250000	0	0	noise	cluster_noise	0.0000
230	Spectrogram 1	1	462.000000	462.500000	0	0	12	cluster_12	0.9575
231	Spectrogram 1	1	462.250000	462.750000	0	0	3	cluster_3	1.0000
232	Spectrogram 1	1	462.500000	463.250000	0	0	noise	cluster_noise	0.0000
233	Spectrogram 1	1	463.000000	463.500000	0	0	3	cluster_3	1.0000
234	Spectrogram 1	1	463.250000	464.000000	0	0	noise	cluster_noise	0.0000
235	Spectrogram 1	1	463.750000	464.250000	0	0	3	cluster_3	1.0000
236	Spectrogram 1	1	464.000000	464.500000	0	0	26	cluster_26	0.9594
237	Spectrogram 1	1	464.250000	464.750000	0	0	noise	cluster_noise	0.0000
238	Spectrogram 1	1	464.500000	465.000000	0	0	12	cluster_12	0.9830
239	Spectrogram 1	1	464.750000	465.250000	0	0	3	cluster_3	1.0000
240	Spectrogram 1	1	465.000000	465.500000	0	0	noise	cluster_noise	0.0000
241	Spectrogram 1	1	465.250000	465.750000	0	0	12	cluster_12	1.0000
242	Spectrogram 1	1	465.500000	466.000000	0	0	3	cluster_3	1.0000
243	Spectrogram 1	1	465.750000	466.250000	0	0	noise	cluster_noise	0.0000
244	Spectrogram 1	1	466.000000	466.500000	0	0	12	cluster_12	1.0000
245	Spectrogram 1	1	466.250000	467.000000	0	0	3	cluster_3	0.9636
246	Spectrogram 1	1	466.750000	467.500000	0	0	noise	cluster_noise	0.0000
247	Spectrogram 1	1	467.250000	467.750000	0	0	26	cluster_26	1.0000
248	Spectrogram 1	1	467.500000	468.750000	0	0	noise	cluster_noise	0.0000
249	Spectrogram 1	1	468.500000	469.250000	0	0	4	cluster_4	0.8724
250	Spectrogram 1	1	469.000000	470.500000	0	0	noise	cluster_noise	0.0000
251	Spectrogram 1	1	470.250000	471.750000	0	0	26	cluster_26	0.9066
252	Spectrogram 1	1	471.500000	472.250000	0	0	noise	cluster_noise	0.0000
