embedder_type,window_sec,hop_sec,perch_padding,umap_dims,mcs,eps,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,ari,homog,mean_total_score
perch,2.5,1.5,zero,20,100,0.0,14,14.3,0.4335,565,182,1603,10.9,1.0,0.7843,0.7114,0.6109,0.6892,0.6989500000000001
perch,2.0,0.5,repeat,10,200,0.0,14,10.4,0.4795,1822,273,5273,33.6,5.9,0.8034,0.7032,0.6085,0.6798,0.698725
perch,2.5,0.5,repeat,20,50,0.0,41,17.9,0.5109,305,76,4780,33.8,5.8,0.7746,0.703,0.5731,0.743,0.698425
perch,2.5,0.5,zero,10,100,0.0,23,14.7,0.4002,792,111,5467,35.7,5.2,0.8185,0.7093,0.5828,0.6828,0.6983499999999999
perch,2.5,0.5,repeat,2,50,0.0,47,13.5,0.432,213,53,4806,41.2,5.0,0.8159,0.6877,0.5754,0.7143,0.6983250000000001
perch,2.0,1.0,repeat,2,100,0.0,15,10.5,0.3208,869,143,2593,30.8,5.8,0.8057,0.6963,0.6119,0.6794,0.6983250000000001
perch,3.0,0.5,zero,10,100,0.0,19,13.3,0.4066,1262,121,4818,30.9,6.5,0.8325,0.7017,0.5816,0.6774,0.6983
perch,3.0,1.0,repeat,5,100,0.0,13,7.6,0.2976,956,302,3142,14.6,5.8,0.8637,0.7055,0.5659,0.6579,0.69825
perch,2.0,0.25,repeat,20,50,0.0,81,20.1,0.5112,157,50,8399,72.4,8.1,0.745,0.6868,0.6087,0.751,0.6978749999999999
perch,3.0,0.5,zero,30,100,0.0,22,16.5,0.3643,1044,111,4827,38.4,6.4,0.8042,0.7013,0.5902,0.6943,0.6975
perch,3.0,0.5,zero,5,100,0.0,24,15.7,0.418,875,113,4845,28.8,6.1,0.8098,0.699,0.5875,0.6937,0.6975
perch,2.0,1.5,repeat,30,100,0.0,15,10.8,0.3962,580,106,1897,12.6,0.7,0.794,0.7004,0.611,0.6842,0.6974000000000001
perch,2.0,0.25,repeat,2,50,0.0,85,17.7,0.234,176,55,6179,68.9,5.4,0.7879,0.6674,0.5834,0.7508,0.697375
perch,1.5,0.25,repeat,15,200,0.0,26,17.2,0.2526,1551,243,8237,76.5,8.3,0.7412,0.6981,0.6423,0.7078,0.6973499999999999
perch,2.5,0.5,zero,30,50,0.0,42,18.9,0.3274,231,59,4706,40.1,7.7,0.7638,0.7005,0.5874,0.7375,0.6973
perch,2.0,1.0,repeat,5,100,0.0,16,11.5,0.4588,784,142,2763,15.4,5.3,0.7913,0.7021,0.6045,0.6911,0.69725
perch,2.5,1.5,zero,5,100,0.0,14,13.5,0.5099,543,223,1593,10.7,0.9,0.7911,0.7067,0.6058,0.685,0.69715
perch,3.0,0.5,repeat,5,100,0.0,29,20.1,0.3142,474,104,3708,29.1,7.0,0.7576,0.7117,0.5938,0.7255,0.6971499999999999
perch,2.0,0.5,repeat,30,200,0.0,13,12.1,0.4541,1887,796,5296,41.6,6.6,0.7868,0.7063,0.6143,0.6803,0.696925
perch,3.0,1.0,repeat,2,100,0.0,14,7.3,0.3667,908,114,3288,29.0,5.3,0.8637,0.704,0.5609,0.6591,0.6969249999999999
perch,2.5,1.5,zero,15,100,0.0,14,13.8,0.4459,587,197,1571,12.0,1.0,0.7874,0.7075,0.6068,0.6859,0.6969000000000001
perch,2.5,1.5,zero,15,200,0.0,14,20.3,0.3158,556,245,1557,12.0,1.1,0.7523,0.7182,0.6231,0.6936,0.6968
